Dice1,Dice2,IoU1,IoU2
0.9721074104309082,0.8117284178733826,0.9457286596298218,0.6831169128417969
0.9729524850845337,0.8254931569099426,0.947329580783844,0.7028423547744751
0.97266685962677,0.8425925970077515,0.9467881321907043,0.7279999852180481
0.9732658863067627,0.8536209464073181,0.947924017906189,0.7446236610412598
0.9713274240493774,0.8351309895515442,0.9442532658576965,0.7169312238693237
0.9719972014427185,0.85173499584198,0.9455200433731079,0.7417582273483276
0.9715844392776489,0.8722741603851318,0.9447391629219055,0.7734806537628174
0.9698252081871033,0.866562008857727,0.9414180517196655,0.7645429372787476
0.9699738621711731,0.8656716346740723,0.9416983723640442,0.7631579041481018
0.9722636938095093,0.8540540337562561,0.946024477481842,0.7452830076217651
0.9717384576797485,0.8408163189888,0.9450304508209229,0.7253521084785461
0.9760326147079468,0.8618267178535461,0.9531872272491455,0.7572016716003418
0.9804195761680603,0.9109947681427002,0.9615912437438965,0.8365384340286255
0.9797523021697998,0.9193548560142517,0.960308313369751,0.8507462739944458
0.9766274094581604,0.9095890522003174,0.9543223977088928,0.8341708779335022
0.978990375995636,0.9044944047927856,0.9588454365730286,0.8256410360336304
0.9791022539138794,0.8776119351387024,0.95906001329422,0.7819148898124695
0.9812789559364319,0.8831169009208679,0.9632459878921509,0.7906976938247681
0.9809907078742981,0.9003689885139465,0.9626905918121338,0.818791925907135
0.9824941158294678,0.9024389982223511,0.9655906558036804,0.8222222328186035
0.9839268326759338,0.8888888955116272,0.9683621525764465,0.800000011920929
0.9837185144424438,0.8999999761581421,0.9679586291313171,0.8181818127632141
0.982871949672699,0.882758617401123,0.966320812702179,0.790123462677002
0.9807708859443665,0.7184466123580933,0.9622673392295837,0.560606062412262
0.9796398878097534,0.0,0.9600923657417297,0.0
0.9810943603515625,0.0,0.9628903269767761,0.0
0.9833085536956787,1.0,0.9671651721000671,1.0
0.9829787015914917,1.0,0.9665272235870361,1.0
0.9827473759651184,1.0,0.9660800099372864,1.0
0.9831600785255432,1.0,0.9668779969215393,1.0
0.9861066937446594,1.0,0.9725940823554993,1.0
0.9855852723121643,1.0,0.9715802669525146,1.0
0.985032320022583,1.0,0.9705060720443726,1.0
0.9844924807548523,1.0,0.9694585800170898,1.0
0.9831404089927673,1.0,0.9668398499488831,1.0
0.967109739780426,1.0,0.9363141655921936,1.0
0.9621760249137878,1.0,0.9271090626716614,1.0
0.968764066696167,1.0,0.9394204020500183,1.0
0.9735537171363831,1.0,0.9484702348709106,1.0
0.9670867323875427,1.0,0.9362710118293762,1.0
0.9750778675079346,1.0,0.9513677954673767,1.0
0.9770506620407104,1.0,0.9551309943199158,1.0
0.9752815365791321,1.0,0.9517556428909302,1.0
0.9734267592430115,1.0,0.9482292532920837,1.0
0.9663151502609253,1.0,0.9348257184028625,1.0
0.9692896604537964,1.0,0.9404094219207764,1.0
0.9728178977966309,1.0,0.9470744132995605,1.0
0.972859263420105,1.0,0.9471527934074402,1.0
0.9704182744026184,1.0,0.9425364136695862,1.0
0.9658265113830566,1.0,0.9339114427566528,1.0
0.9710193872451782,1.0,0.9436712265014648,1.0
0.9745180606842041,1.0,0.9503025412559509,1.0
0.9799464344978333,1.0,0.9606813788414001,1.0
0.9787783026695251,1.0,0.9584386348724365,1.0
0.9827553033828735,1.0,0.9660952687263489,1.0
0.981827437877655,1.0,0.9643035531044006,1.0
0.9824141263961792,1.0,0.9654361009597778,1.0
0.9816387891769409,1.0,0.9639396667480469,1.0
0.9765832424163818,1.0,0.9542381167411804,1.0
0.97737056016922,1.0,0.9557426571846008,1.0
0.9814645051956177,1.0,0.9636036157608032,1.0
0.9820154905319214,1.0,0.9646664261817932,1.0
0.9813544154167175,1.0,0.9633913636207581,1.0
0.9798187017440796,1.0,0.9604359269142151,1.0
0.9798479676246643,1.0,0.9604920744895935,1.0
0.9771239757537842,0.0,0.9552711844444275,0.0
0.9759137034416199,1.0,0.9529604315757751,1.0
0.9808281660079956,1.0,0.962377667427063,1.0
0.9802295565605164,1.0,0.961225688457489,1.0
0.9810551404953003,1.0,0.9628148078918457,1.0
0.9798288345336914,1.0,0.9604552984237671,1.0
0.979657769203186,1.0,0.9601266384124756,1.0
0.9816200733184814,1.0,0.9639036059379578,1.0
0.9799485206604004,1.0,0.9606853723526001,1.0
0.9804156422615051,1.0,0.96158367395401,1.0
0.9843290448188782,1.0,0.9691416621208191,1.0
0.9842453598976135,1.0,0.9689794182777405,1.0
0.9821922779083252,1.0,0.9650076627731323,1.0
0.982236385345459,1.0,0.9650928974151611,1.0
0.982394814491272,1.0,0.9653987288475037,1.0
0.9832970499992371,1.0,0.9671428799629211,1.0
